year,month,births
1969,1,293940
1969,2,270786
1969,3,296550
1969,4,282638
1969,5,289124
1969,6,291610
1969,7,318356
1969,8,321034
1969,9,312620
1969,10,311972
1969,11,297054
1969,12,314522
1970,1,302278
1970,2,281488
1970,3,307448
1970,4,287090
1970,5,298140
1970,6,303378
1970,7,330452
1970,8,331326
1970,9,332496
1970,10,324422
1970,11,309604
1970,12,329678
1971,1,312826
1971,2,284052
1971,3,308312
1971,4,286304
1971,5,284926
1971,6,285518
1971,7,305534
1971,8,313122
1971,9,311534
1971,10,303248
1971,11,281762
1971,12,286410
1972,1,276544
1972,2,262862
1972,3,273645
1972,4,255075
1972,5,270279
1972,6,260229
1972,7,278268
1972,8,288570
1972,9,283076
1972,10,275903
1972,11,264669
1972,12,277115
1973,1,266483
1973,2,241692
1973,3,269506
1973,4,248082
1973,5,255267
1973,6,254799
1973,7,275934
1973,8,282189
1973,9,271605
1973,10,266416
1973,11,252780
1973,12,261372
1974,1,258297
1974,2,237302
1974,3,258843
1974,4,247293
1974,5,257775
1974,6,251360
1974,7,280572
1974,8,287486
1974,9,284679
1974,10,281297
1974,11,258932
1974,12,266795
1975,1,260032
1975,2,238818
1975,3,262385
1975,4,251719
1975,5,262218
1975,6,256418
1975,7,280610
1975,8,280794
1975,9,274603
1975,10,268656
1975,11,250735
1975,12,266568
1976,1,257993
1976,2,243542
1976,3,258879
1976,4,244297
1976,5,252373
1976,6,257320
1976,7,278077
1976,8,282786
1976,9,283240
1976,10,279025
1976,11,264070
1976,12,274874
1977,1,272008
1977,2,253803
1977,3,281571
1977,4,262862
1977,5,275172
1977,6,273777
1977,7,291535
1977,8,299694
1977,9,292943
1977,10,286302
1977,11,269432
1977,12,273060
1978,1,271062
1978,2,250279
1978,3,276966
1978,4,254933
1978,5,271173
1978,6,271070
1978,7,295126
1978,8,303344
1978,9,294398
1978,10,289426
1978,11,275143
1978,12,285380
1979,1,284870
1979,2,261369
1979,3,289062
1979,4,271559
1979,5,287561
1979,6,282720
1979,7,311643
1979,8,318505
1979,9,307163
1979,10,304596
1979,11,288763
1979,12,291984
1980,1,292487
1980,2,280394
1980,3,297750
1980,4,287198
1980,5,294117
1980,6,293464
1980,7,322355
1980,8,323643
1980,9,321077
1980,10,311800
1980,11,290100
1980,12,303596
1981,1,295089
1981,2,273646
1981,3,302158
1981,4,285967
1981,5,296842
1981,6,298425
1981,7,326769
1981,8,330527
1981,9,320581
1981,10,309681
1981,11,291390
1981,12,304440
1982,1,298341
1982,2,277320
1982,3,306226
1982,4,291846
1982,5,306646
1982,6,308238
1982,7,328960
1982,8,329620
1982,9,327062
1982,10,314368
1982,11,296327
1982,12,300503
1983,1,298018
1983,2,277276
1983,3,311219
1983,4,294221
1983,5,303536
1983,6,304236
1983,7,318305
1983,8,324400
1983,9,314832
1983,10,306127
1983,11,291272
1983,12,299379
1984,1,292531
1984,2,281899
1984,3,304338
1984,4,286127
1984,5,299732
1984,6,299219
1984,7,325909
1984,8,335666
1984,9,326906
1984,10,321739
1984,11,297179
1984,12,302323
1985,1,304419
1985,2,281581
1985,3,311023
1985,4,302127
1985,5,318010
1985,6,308862
1985,7,333911
1985,8,337019
1985,9,331675
1985,10,323377
1985,11,301928
1985,12,311132
1986,1,306516
1986,2,282794
1986,3,312746
1986,4,304450
1986,5,316319
